nom;prenom;adresse_postale;complement_adresse;numero_rue;numero_bat;numero_appart;code_interphone;code_postal;ville;sauvegarde
Dijoux;Sabine;chemin de Alexandre;;3;;;;72069;Evrard-sur-Muller;false
Valette;Franck;boulevard Klein;;53;;;;23411;Martin-les-Bains;false
Perrot;Denis;avenue Alix Gauthier;;36;;;;11282;Sainte LorraineBourg;false
Normand;Bertrand;chemin Lefort;;7;;;;27504;Rousseau-les-Bains;false
Hardy;Grégoire;rue Lucie David;;44;;;;39426;Saint Adèledan;false
Lefèvre;Simone;rue de Jacques;;65;;;;94399;Dumasboeuf;false
Fernandes;Jules;boulevard de Morel;;13;;;;80814;Schmitt;false
Gautier;Gérard;rue de Huet;;8;;;;90595;Tanguy;false
Jacob;Sabine;rue Tristan Gay;;312;;;;42037;Riouboeuf;false
Cohen;Virginie;rue Lucas Vincent;;10;;;;60673;Saint JosephVille;false
Bouchet;Michèle;avenue de Rodrigues;;69;;;;76186;Guilbert-les-Bains;false
Rocher;Claude;rue Martine Clément;;15;;;;50719;Chrétiendan;false
Pichon;Timothée;rue Barre;;37;;;;41449;Maillot;false
Grondin;Louise;rue Pages;;96;;;;77624;CharrierVille;false
Wagner;Alexandria;boulevard de Dumont;;73;;;;95455;Bertin;false
Rossi;François;rue Marie;;2;;;;50089;Jacob-sur-Pineau;false
Gilles;Matthieu;rue de Charpentier;;4;;;;98306;Pons-la-Forêt;false
Bouvet;Bertrand;boulevard de Hamon;;49;;;;40361;Guillotdan;false
Carpentier;Clémence;chemin Sylvie Meunier;;5;;;;32336;Daniel;false
Couturier;Laure;rue Louise Labbé;;536;;;;76820;Sainte Alexnec;false
