produit;note;commentaire;id_client;nom;prenom;email;mot_de_passe;telephone;pseudo;date_de_naissance;adresse_postale;numero_carte;cryptogramme;date_expiration;nom_sur_carte
Confiture pomme caramel 500g;2;Le produit ne correspond pas totalement à la description.;1;Dijoux;Sabine;celine76@baron.fr;Mot_de_passe1;+33 1 67 11 65 30;llacroix;1985-03-31;3, chemin de Alexandre, 72069 Evrard-sur-Muller;4539 1488 0343 0000;354;03/28;Lucas Dumont
Confiture pomme caramel 500g;4;Ce produit devrait avoir son fan-club.;2;Valette;Franck;suzannepires@club-internet.fr;Mot_de_passe2;+33 (0)8 07 99 76 50;ddidier;1947-12-14;53, boulevard Klein, 23411 Martin-les-Bains;4539 1488 0343 0001;39;12/26;Jérôme Lambert
Confiture pomme caramel 500g;2;Pas terrible… Je ne pense pas le racheter.;3;Perrot;Denis;rcollin@clement.net;Mot_de_passe3;01 07 45 11 87;frederiquecosta;1967-01-11;36, avenue Alix Gauthier, 11282 Sainte LorraineBourg;4539 1488 0343 0002;719;09/29;Élisabeth Brunel
Confiture poire chocolat 500g;5;Un incontournable, je suis ravi de mon achat.;4;Normand;Bertrand;alphonse96@launay.com;Mot_de_passe4;02 52 54 10 06;gleroux;1984-02-04;7, chemin Lefort, 27504 Rousseau-les-Bains;4539 1488 0343 0003;470;08/27;Jean Boyer
Confiture poire chocolat 500g;3;Je suis un peu déçu, je m'attendais à mieux.;5;Hardy;Grégoire;nverdier@lopes.com;Mot_de_passe5;+33 (0)2 85 12 86 37;ulejeune;1978-02-08;44, rue Lucie David, 39426 Saint Adèledan;4539 1488 0343 0004;991;06/35;Thierry Vallée
Confiture poire chocolat 500g;4;J'adore ce produit ! Il dépasse mes attentes.;6;Lefèvre;Simone;bleclerc@marques.com;Mot_de_passe6;+33 8 07 07 26 34;gjoly;1979-10-24;65, rue de Jacques, 94399 Dumasboeuf;4539 1488 0343 0005;663;11/32;Sébastien Rivière
Confiture banane caramel au rhum 500g;1;Le produit ne correspond pas totalement à la description.;7;Fernandes;Jules;tlebon@jourdan.com;Mot_de_passe7;06 58 56 10 60;manon82;1968-06-25;13, boulevard de Morel, 80814 Schmitt;4539 1488 0343 0006;720;11/27;Alice Robin
Confiture banane caramel au rhum 500g;5;Excellent rapport qualité-prix, vraiment satisfait.;8;Gautier;Gérard;victoire21@free.fr;Mot_de_passe8;663338987;njean;1996-08-24;8, rue de Huet, 90595 Tanguy;4539 1488 0343 0007;313;03/30;Bernadette Blin
Confiture banane caramel au rhum 500g;2;Qualité moyenne, pourrait être amélioré.;9;Jacob;Sabine;christine97@noos.fr;Mot_de_passe9;556801776;sylvieleclercq;1975-10-22;312, rue Tristan Gay, 42037 Riouboeuf;4539 1488 0343 0008;844;01/26;Laetitia Ollivier
Confiture orange whisky 500g;1;Pas terrible… Je ne pense pas le racheter.;10;Cohen;Virginie;clegrand@vallet.fr;Mot_de_passe10;161603296;rboucher;1996-11-23;rue Lucas Vincent, 60673 Saint JosephVille;4539 1488 0343 0009;557;04/30;Benjamin Texier
Confiture orange whisky 500g;4;Un incontournable, je suis ravi de mon achat.;11;Bouchet;Michèle;ylaurent@dbmail.com;Mot_de_passe11;423710247;genevieve35;1971-04-19;69, avenue de Rodrigues, 76186 Guilbert-les-Bains;4539 1488 0343 0010;1;03/27;Alfred Martineau
Confiture orange whisky 500g;2;Le produit ne correspond pas totalement à la description.;12;Rocher;Claude;honoregosselin@millet.fr;Mot_de_passe12;+33 3 01 49 51 42;chauveaudaniel;1983-02-02;15, rue Martine Clément, 50719 Chrétiendan;4539 1488 0343 0011;465;03/29;Élisabeth Le Roux
Confiture confit de cidre 500g;1;Le produit ne correspond pas totalement à la description.;13;Pichon;Timothée;gomesvincent@breton.com;Mot_de_passe13;181999898;gerard99;2007-03-14;37, rue Barre, 41449 Maillot;4539 1488 0343 0012;811;12/25;Susanne Lebon
Confiture confit de cidre 500g;4;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;14;Grondin;Louise;yvesnoel@faure.fr;Mot_de_passe14;+33 (0)2 09 38 54 59;michelecordier;1956-12-15;96, rue Pages, 77624 CharrierVille;4539 1488 0343 0013;318;03/31;Victoire Guibert
