id_carte_bancaire;numero_carte;cryptogramme;nom;expiration;id_client
1;4539 1488 0343 0000;354;Lucas Dumont;03/28;21
2;4539 1488 0343 0001;39;Jérôme Lambert;12/26;22
3;4539 1488 0343 0002;719;Élisabeth Brunel;09/29;23
4;4539 1488 0343 0003;470;Jean Boyer;08/27;24
5;4539 1488 0343 0004;991;Thierry Vallée;06/35;25
6;4539 1488 0343 0005;663;Sébastien Rivière;11/32;26
7;4539 1488 0343 0006;720;Alice Robin;11/27;27
8;4539 1488 0343 0007;313;Bernadette Blin;03/30;28
9;4539 1488 0343 0008;844;Laetitia Ollivier;01/26;29
10;4539 1488 0343 0009;557;Benjamin Texier;04/30;30
11;4539 1488 0343 0010;111;Alfred Martineau;03/27;31
12;4539 1488 0343 0011;465;Élisabeth Le Roux;03/29;32
13;4539 1488 0343 0012;811;Susanne Lebon;12/25;33
14;4539 1488 0343 0013;318;Victoire Guibert;03/31;34
15;4539 1488 0343 0014;982;Manon Marchand;06/29;35
16;4539 1488 0343 0015;858;Françoise Paul;07/32;36
17;4539 1488 0343 0016;179;Gabriel Antoine;05/33;37
18;4539 1488 0343 0017;301;Antoinette Nguyen;06/26;38
19;4539 1488 0343 0018;771;André Grondin;04/30;39
20;4539 1488 0343 0019;933;Tristan Dupuy;03/32;40
