id_compte;pseudo;date_naissance;id_panier
21;llacroix;31/03/1985;1
22;ddidier;14/12/1947;2
23;frederiquecosta;11/01/1967;3
24;gleroux;04/02/1984;4
25;ulejeune;08/02/1978;5
26;gjoly;24/10/1979;6
27;manon82;25/06/1968;7
28;njean;24/08/1996;8
29;sylvieleclercq;22/10/1975;9
30;rboucher;23/11/1996;10
31;genevieve35;19/04/1971;11
32;chauveaudaniel;02/02/1983;12
33;gerard99;14/03/2006;13
34;michelecordier;15/12/1956;14
35;lucauger;22/05/1986;15
36;luce88;26/07/1999;16
37;anais37;03/01/1989;17
38;camille65;28/05/1966;18
39;susanne96;05/12/1990;19
40;anneguichard;18/02/1970;20
