id_compte;raison_sociale;siren;description_vendeur;iban;denomination
1;Creperie du Menhir;495729568;;FR7614204587991023556700188;Creperie du Menhir
2;Boulangerie Breizh Douceur;423176973;;FR1154892201765490001220811;BreizhD
3;Atelier du Goémon;457954311;;FR3310042223908765441122766;GoemLab
4;Biscuiterie des Embruns;206108714;;FR4222003344556670889911324;Embrunz
5;Poissonnerie Ar Mor;535411474;;FR6934445588707011219080561;ArMSea
6;Patisserie Ker Sucre;161733860;;FR1255446677880123654508199;KerSweet
7;Forge du Triskell;265152488;;FR8076432210998754311002347;TriForge
8;Librairie Ker Livres;229460522;;FR1512347788990011223377554;KerBooks
9;Distillerie Breizh Spirit;814307468;;FR8766007765432190876501234;BSpirit
10;Salon de The Breizh’Delices;934194804;;FR2444005521900066118834509;BDelices
11;Atelier du Cuir Breizh;880428354;;FR4022345678009911003400229;CuirBzh
12;Maison du Kouign-Amann;810283804;;FR0987665431221098004500112;KouignHouse
13;Microbrasserie Kornog;372905802;;FR4833001278789044567781300;KornBrew
14;Bijouterie Arz Breizh;563310895;;FR0254219076889910105567239;ArzJewels
15;Charcuterie Breizh Argoat;183576271;;FR3845006677213099881103567;ArgoatMeat
16;Atelier Textile Breizh’Mode;361088040;;FR2966219987450032117744896;BzhMode
17;Ebenisterie Penn Ar Bed;289039075;;FR7490881198340065772210011;PABWood
18;Parfumerie Breizh Flora;499624641;;FR7232109900554467671011992;FloraBZH
19;Fromagerie Breizh Lait;144442142;;FR1723456789112233445566099;Bzlait
20;Herboristerie Ar Gwened;567813464;;FR5755603411998810123440177;GwenHerb
